date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:56	30448/30448	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20May%202015%2005:35:46%20GMT	https://demoxml.com/html/educampus/img/bg_header_bottom.jpg	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_header_bottom.jpg	(from https://demoxml.com/html/educampus/style.css)
11:35:56	69113/69113	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20May%202015%2005:35:40%20GMT	https://demoxml.com/html/educampus/img/bg_course_search.jpg	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_course_search.jpg	(from https://demoxml.com/html/educampus/style.css)
11:35:57	380/380	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:45:20%20GMT	https://demoxml.com/html/educampus/img/icon_select_1.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_select_1.png	(from https://demoxml.com/html/educampus/style.css)
11:35:57	237/237	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:46:02%20GMT	https://demoxml.com/html/educampus/img/icon_select_2.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_select_2.png	(from https://demoxml.com/html/educampus/style.css)
11:35:57	230/230	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:46:24%20GMT	https://demoxml.com/html/educampus/img/icon_select_3.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_select_3.png	(from https://demoxml.com/html/educampus/style.css)
11:35:58	329/329	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:45:44%20GMT	https://demoxml.com/html/educampus/img/icon_select_4.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_select_4.png	(from https://demoxml.com/html/educampus/style.css)
11:35:58	321/321	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:45:42%20GMT	https://demoxml.com/html/educampus/img/icon_select_5.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_select_5.png	(from https://demoxml.com/html/educampus/style.css)
11:35:58	19278/19278	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20May%202015%2005:42:00%20GMT	https://demoxml.com/html/educampus/img/bg_latest_course.jpg	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_latest_course.jpg	(from https://demoxml.com/html/educampus/style.css)
11:35:59	6906/6906	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:41:56%20GMT	https://demoxml.com/html/educampus/img/bg_footer_top.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_footer_top.png	(from https://demoxml.com/html/educampus/style.css)
11:35:59	397/397	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:45:36%20GMT	https://demoxml.com/html/educampus/img/icon_newslatter.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_newslatter.png	(from https://demoxml.com/html/educampus/style.css)
11:35:59	381/381	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:45:50%20GMT	https://demoxml.com/html/educampus/img/bg_widget_title.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_widget_title.png	(from https://demoxml.com/html/educampus/style.css)
11:36:00	280/280	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:46:06%20GMT	https://demoxml.com/html/educampus/img/bg_latest_tweet.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_latest_tweet.png	(from https://demoxml.com/html/educampus/style.css)
11:36:00	334/334	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:45:54%20GMT	https://demoxml.com/html/educampus/img/icon_footer_contact_1.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_footer_contact_1.png	(from https://demoxml.com/html/educampus/style.css)
11:36:00	284/284	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:46:00%20GMT	https://demoxml.com/html/educampus/img/icon_footer_contact_2.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_footer_contact_2.png	(from https://demoxml.com/html/educampus/style.css)
11:36:01	232/232	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:46:34%20GMT	https://demoxml.com/html/educampus/img/icon_footer_contact_3.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_footer_contact_3.png	(from https://demoxml.com/html/educampus/style.css)
11:36:01	237/237	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:46:22%20GMT	https://demoxml.com/html/educampus/img/icon_footer_contact_4.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_footer_contact_4.png	(from https://demoxml.com/html/educampus/style.css)
11:36:01	7900/7900	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20May%202015%2005:42:30%20GMT	https://demoxml.com/html/educampus/img/bg_index2_header_bottom.jpg	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_index2_header_bottom.jpg	(from https://demoxml.com/html/educampus/style.css)
11:36:02	109/109	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:46:30%20GMT	https://demoxml.com/html/educampus/img/degree_icon_after.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/degree_icon_after.png	(from https://demoxml.com/html/educampus/style.css)
11:36:02	5929/5929	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:42:44%20GMT	https://demoxml.com/html/educampus/img/bg_index2_tesimonial.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_index2_tesimonial.png	(from https://demoxml.com/html/educampus/style.css)
11:36:02	93/93	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:46:26%20GMT	https://demoxml.com/html/educampus/img/bg_sing_practice.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_sing_practice.png	(from https://demoxml.com/html/educampus/style.css)
